(0, 0, 0)
(0, 0, 192)
(0, 128, 192)
(5, 193, 181)
(5, 193, 224)
(6, 143, 239)
(6, 143, 252)
(6, 143, 254)
(6, 143, 255)
(6, 144, 2)
(6, 144, 3)
(6, 144, 7)
(6, 144, 9)
(6, 144, 10)
(6, 144, 11)
(6, 144, 12)
(6, 144, 13)
(6, 144, 15)
(6, 144, 16)
(6, 144, 118)
(6, 144, 121)
(6, 144, 123)
(6, 144, 210)
(6, 145, 20)
(6, 145, 23)
(6, 145, 78)
(6, 145, 131)
(6, 145, 195)
(6, 147, 210)
(6, 147, 217)
(6, 148, 233)
(6, 148, 235)
(6, 149, 14)
(6, 149, 33)
(6, 149, 34)
(6, 149, 40)
(64, 0, 128)
(64, 64, 0)
(64, 64, 128)
(128, 64, 128)
(128, 128, 0)
(128, 128, 128)
(192, 128, 128)
(192, 192, 128)
